Row Labels,Count of URL,,,,Row Labels,Count of URL
A.T.Kearny,2,,,,WEF,17
Alibaba Group,1,,,,Visual Capitalist,11
Bain & Company,3,,,,McKinsey,6
BBC,1,,,,Forbes,5
BEA,2,,,,GSMA,5
BofA Merril Lynch,1,,,,Pew Research Center,5
BPTrends,1,,,,CNBC,4
CBInsights,2,,,,Bain & Company,3
Circle-economy,1,,,,DBR,3
Cleanclothes,1,,,,Forrester,3
CNBC,4,,,,Gartner,3
CNN,2,,,,HBR,3
DBR,3,,,,Mary Meeker,3
Deloitte,2,,,,OECD,3
Deloitte ,1,,,,Strategyzer,3
Deloitte University Press,1,,,,A.T.Kearny,2
Economist,1,,,,BEA,2
edaily,1,,,,CBInsights,2
Edelman,2,,,,CNN,2
eMarketer,1,,,,Deloitte,2
ETLA,1,,,,Edelman,2
EU GDPR,1,,,,Medium,2
Everett Rogers,1,,,,Oxfam,2
Facebook ,1,,,,PWC,2
Forbes,5,,,,Statista,2
Forrester,3,,,,Tencent ,2
Gallup,1,,,,Twitter,2
Gartner,3,,,,UN,2
GE,1,,,,WEF (with Accenture) ,2
Goldman Sach,1,,,,Alibaba Group,1
Google,1,,,,BBC,1
GSMA,5,,,,BofA Merril Lynch,1
Hankyung News,1,,,,BPTrends,1
HBR,3,,,,Circle-economy,1
i-scoop,1,,,,Cleanclothes,1
IMF,1,,,,Deloitte ,1
Inc,1,,,,Deloitte University Press,1
Independent ,1,,,,Economist,1
Investopia,1,,,,edaily,1
Jennifer Rowley ,1,,,,eMarketer,1
Jeremy Rifkin,1,,,,ETLA,1
John Grill Center ,1,,,,EU GDPR,1
Joins,1,,,,Everett Rogers,1
KDI & OECD,1,,,,Facebook ,1
Kiwoom,1,,,,Gallup,1
KOTRA ,1,,,,GE,1
LawGeex,1,,,,Goldman Sach,1
Marketingchart,1,,,,Google,1
Mary Meeker,3,,,,Hankyung News,1
Maslow ,1,,,,i-scoop,1
McKinsey,6,,,,IMF,1
Medium,2,,,,Inc,1
Mother Jones,1,,,,Independent ,1
NYTimes,1,,,,Investopia,1
OCTO,1,,,,Jennifer Rowley ,1
OECD,3,,,,Jeremy Rifkin,1
Oxfam,2,,,,John Grill Center ,1
Pew Research Center,5,,,,Joins,1
Philip Kotler,1,,,,KDI & OECD,1
Pressbooks,1,,,,Kiwoom,1
PWC,2,,,,KOTRA ,1
QUARTZ,1,,,,LawGeex,1
ReorgFirstDay,1,,,,Marketingchart,1
Richard Daveni,1,,,,Maslow ,1
Statcounter,1,,,,Mother Jones,1
Statista,2,,,,NYTimes,1
Strategyzer,3,,,,OCTO,1
Techcrunch,1,,,,Philip Kotler,1
Techinsight,1,,,,Pressbooks,1
Tencent ,2,,,,QUARTZ,1
The Quest,1,,,,ReorgFirstDay,1
Twitter,2,,,,Richard Daveni,1
UN,2,,,,Statcounter,1
Visual Capitalist,11,,,,Techcrunch,1
WEF,17,,,,Techinsight,1
WEF (with Accenture) ,2,,,,The Quest,1
Wordpress,1,,,,Wordpress,1
Grand Total,153,,,,,
